Unnamed: 0,split,topic,label,TEXT
9901,train,race,0,含有多种有机微生物，印度人直呼内行！
2086,train,region,1,河南人偷井盖 说烂的东西了
380,train,region,1,李天佑这种人就是来恶心中国人的，整个大东北的影响全被这群人毁了
12899,train,race,0,扬基佬三光红脖南蛮子是传统艺能了，上次还带着黑人呢，有什么心理压力？[好奇]
6517,train,region,0,长江以北也挺不错的。扬州（外加泰州）虽然地处江北，但是园林和文化底蕴方面不输江南。最北的徐州虽然方言可能没有苏州无锡那么好听，但是那里的人应该还是很豪爽的。没有江南人那么小家子气。苏北这几年发展也很不错。有机会多去外面看看，不要老是用以往的观点看待问题
2300,train,region,0,是啊，这样多潇洒，我有个表哥在上海有房又怎么样户口还是搞不定孩子读书还是上私立，在上海这个城市租房没什么不好
1824,train,region,0,别觉得国际高中都是划水的，我们也是起早贪黑每周单休，我们学校国际部紧挨着普高部，一点看不来我们比普高轻松，btw，是江苏的普高
1737,train,race,0,别说了，黄种人天生雄性激素最高，相同锻炼饮食肌肉更发达
9971,train,race,0,是的，例如神海1，最后得到了一船财宝，2、3最后拯救了世界（算是吧），4最后兄弟二人完成了梦想。外传黑人姐姐放下了执念，大家一起吃披萨。
7344,train,race,1,黑人闹下去没什么大作用，对美国来说不痛不痒，有人说动摇美国国本，纯粹是扯蛋，黑人闹事最主要的两个明显特征，第一，暴力，第二，没有政治诉求，这两条决定了他们的高度，如果他们不提政治诉求，只打砸抢，那永远都是这样，只是打砸抢，
5482,train,race,1,黑人不允许别人歧视自己，但是自己可以歧视黄种人
2432,train,gender,0,对啊、我就感觉这难道不是校园欺凌造成的凄惨后果吗？为什么答主还有一些人就觉得这个男生活该这样呢？
5639,train,region,0,天津包子没吃过，但是狗不理吃过一次就再也不想吃了
9346,train,race,0,那么清浊送气三种（或四种）对立非常明显的印度人学日语呢？
2559,train,region,0,我特么一个四川人 无辣不欢 但是要是让我干吃辣椒会胃疼的好吗！要是这种态度逼我吃，我得生气 黑脸
786,train,gender,1,如果玩 被拍摄，然后女方告丈夫婚内强奸并要求离婚，家产归女方。法院支持不？
1495,train,region,0,死人倒不至于绝后是有可能的就拿我北京这边来说中学毕业就出去混社会的也不是没有他们当中大部分人一个月也就挣个几千块这个收入水平在北京想要后代难度不小啊
9900,train,race,0,话说哥谭里的飞虎女虽然也是黑人，但是颜值也很在线
3175,train,race,1,所以我很长一段时间不碰黑人做的吃的 而且细思极恐 刚开始不明白他们为什么要提个桶去厕所后来 我朋友告诉我 爱干净的提个桶 不爱干净的直接上手
2955,train,gender,0,贤惠本身并不是什么贬义词，只不过在这个网络横行的时代，已经没几个词算是好词了。
7494,train,race,1,现在获取信息的渠道多了！也应该会理解美国到底是怎样的国家了！在美国，当警察也是很危险的，基本上人人都有枪！换我，我也这样搞黑人！本来美国白人就是歧视黑人，
5893,train,region,0,我也是湖北的，并且孤身一人。你还有家，有家人，挺羡慕的。给你加油！
5500,train,race,1,问题是规模，他们黑人们接受了儒家文化。那他们就更应该建设自己的故土。自己不行，我们可以进行平等的交易。但黑人想大规模入侵中国。
5156,train,race,1,我想起了我在亚服第一次玩匹配到韩国人，俩韩国人，我也没多想用蹩脚的英文交流了半天，然后我还挺顺的，我们三个就一起到了一个屋子他俩对视了一会，说了不知道啥的，然后一枪把我崩了舔我包………（黑人问号.jpg）其实哪个国家都有素质高有素质低的吧
12511,train,race,0,以前都是善良的黑人领便当现在是善良的印度人了时代有进步
606,train,gender,1,这楼真可怕，挺多田原女犬还是很能讲歪理的
11607,train,race,0,黄种人的范围比亚洲大吧。。。
7788,train,race,1,黑人意识到被压迫，要反抗，已经几十年，上百年了。当年的黑豹党好歹还是有组织，有目的的反抗。几十年发展下来，这群黑人只会玩零元购，毫无目的，
2011,train,region,0,河南不出人才吗？？
654,train,region,1,汉中人跟大部分陕西人一样，瞧不起四川人，背地里都嘲笑四川人，说四川人是丢子。丢子就是猥琐的矮子，你认为汉中人对成都有认同感，不要再在那臆想了。
679,train,region,1,相反我是在其他地方被骗了两次，我不说那个地方是因为我知道每个地方都有好人和坏人，难道河南只有河南人？没有外省的？
3966,train,gender,1,其实根本就不是题主抢着掏钱好吗？而且你不掏男友也不掏这样很尴尬好吗？！！！男生不应该主动吗？！
9970,train,race,0,《绝地战警》剧情：9动作：9威尔史密斯的成名作，那个黑人哥们也眼熟吧，我记不清名字，现在一个走搞笑路线一个走耍酷录像。这片子值得一看，记得是2部
967,train,gender,1,爆出来的大多是男生，艾滋病确实有潜伏期。但是不可能女生的潜伏期比男生长吧，男生得病的多，这是事实啊。
1127,train,gender,1,男权为了反女权真是什么恶都能作，高。
4418,train,gender,1,这么防的话，受损失的更多是女性，因为强奸是客观的物理伤害，但是污蔑的伤害的前提是「信任」
4649,train,region,0,这就是恁东百跟南方马来贴贴，敌视北方，生育率不足0.6%人口即将消亡的理由 ?顺便一提，不要质疑我的东北人属性，本人整个家族都是C2父系，论满洲比恁O系高达70%的辽宁吉林满族正统得多!
3514,train,gender,0,就跟夸男的，踏实这个词一样吧。
6391,train,region,0,啊，麦趣尔是新疆的，念大咧巴的是东北人啊，我们见这玩意儿都新鲜的很呐[捂脸]
2949,train,region,1,“上海女生都娇气败家，任性抠门，作，不懂体谅人”
1239,train,gender,1,恶心的人那个男的和那些女人
1787,train,region,1,这叫穷山恶水出刁民，农民又不是一定代表淳朴，你看那些暴乱都是偏远地区的人搞，尤其是新疆人卖切糕的
6797,train,race,1,恨国党们一方面拿黑人中的精英论证黑人的优越性，一方面又拿中国人中素质低的群体论证中国人的劣根性，如此双标实在好笑
7023,train,race,1,"白人黑人体味一样？黑人特别是女生,体味大的离谱好伐"
89,train,gender,0,我就是觉得男主太可怜[大哭]
5025,train,race,1,"我就来说几个点…,第一亚裔在美国地位确实低，以我在美国留学7年的经验，如果说老墨地位最低的话，亚裔差不多倒数第三。,倒数第二当然是我们chingchong了，你不会以为亚裔=中国人吧。,好了该有人来评论，你这么喜欢被歧视在美国读7年书？"
441,train,race,0,从小更喜欢东亚人的长相的。当然黄种人里的马来和通古斯丑的比白种丑的更丑；但好看的黄种人比高加索人更细腻和有韵味的，也更耐老 现在能做到看黑白黄人一视同仁，帅与不帅，气质怎样也是针对个体客观评判
12777,train,race,0,黑人物什么的很无爱的。一月明明很帅有木有!~【啊空你到底是萌神还是帅比←_←
402,train,region,1,除了北京媒体和部分中央媒体护犊子报到，完了有些球迷没原则骂其他队和球员。还有就因为它是首都，占着很多优质医疗教育科研资源，完了有些北京的人看不起外地人。这也是引起反感的原因。
8303,train,race,1,崇洋媚外？非洲黑人能算洋人，他们都不傻，只是坏。
468,train,region,1,什么小气大气，但凡涉及到钱，谁还不是一样么！浙江人经济意识强，契约精神强，钱分的清楚，意识符合现在社会的发展和要求。
9009,train,race,1,额，我的逻辑思维好像没思维出您这是怎么和女权扯上原因的啊？难道是女性为了获得一些东西就要以欺骗的手段绿了现任男朋友然后重做人设再骗下一任男朋友？这就是女权？？？？手动黑人问好
5033,train,region,0,我是在深圳的湖北人，但是，我真的好喜欢你们江西人，感觉遇到的每一个江西人都很好。
5166,train,region,0,说得好像去北京上海深圳就不用和其他地方的医学生竞争一样。医生这门行业要发表论文，要好的平台，好的科研底蕴。门外人说门外话。
2206,train,region,0,你怕是没来过重庆。
3134,train,region,1,应该是：人家才吃了一口的雪糕被这位贵州法律圈撞掉了，该赔吧？该！ 这位律师是要赔的，只是他会买一个同款雪糕，然后也咬一口赔给被害人. 这位贵州法律圈的朋友不是存心来恶心人的吧
782,train,gender,0,只是因为喜欢看女生打篮球[捂嘴]
1970,train,region,0,这个是事实，但是我觉得，如果以说到外国人，就和垃圾划等号，是不正确的。类似于，说到河南人就是偷井盖的，说到新疆人就是小偷一样。每个地方都有好人坏人，但是不等同于，这个地方有坏人，这个地方就只有坏人
7357,train,race,1,中国男人让她们把地扫一下把衣服放洗衣机里洗一下，都嚷着压迫女性。黑人让她们把那里全割掉，
4276,train,region,0,贵州堡垒……
4982,train,region,0,给你一根甘蔗，你像它那样啃我看看 ， 明明啃的是澳门手信街的蛋卷。
3268,train,region,1,就像你在任何情况下都不能杀人一样，有些界限是不能商量的，一旦商量就会出现可利用的空隙，以前倒是松，怎么样呀？每年多少劫机到台湾的？那样就高兴了？
775,train,gender,1,挑选范围窄了，自身条件不好，遇到好男人的机会也就少了呀，嫁个酒鬼赌鬼家暴岂不完蛋，嫁人的确简单，但是能保证嫁了人的生活比不嫁人好，就不简单了。
13187,train,race,0,这些黑人好有文化啊！
4078,train,race,1,悲哀的是，这个辱骂中国人的***，不但没被驱逐出境，
2151,train,region,1,作为一个东北人，抛开其他单看说话方式，我感觉一天天说话满是“草，鸡巴，他妈，哔，犊子”之类的人实在是粗俗。
3017,train,race,1,仇恨的制造是澳洲那群白皮发起的，不是那篇报道的作者。没有针对亚裔的犯罪行为，就没有仇恨，这就是我的理解。
3346,train,region,0,看到其他地方也这么粗俗，我就放心了。之前一直以自己是云南人而愧疚
4628,train,region,0,我觉得发展的还不错啊，疫情期间研制出试剂盒的速度可以说是首屈一指了吧，近几年的在辽宁录取的省排名水涨船高。当然，问题也有，点名热搜张某平，需要整顿，希望学院领导别再包庇了。正视问题，解决问题，我还是觉得福大未来可期。
1661,train,gender,0,是啊，看男主角就不舒服，愤青搁哪都让人烦，把这个角色改改能让电影好看很多。
2681,train,gender,0,外甥女小时候看西游记动画片，跟着唱主题曲，有一天我看她一直唱：小八棍儿，小八棍儿，，，正确字幕我忘记了(~_~;)
5636,train,region,0,hh我有个同学也是天津的，和你一样
3845,train,region,0,我也看过，好像在河南
6769,train,region,1,可能真的在老一辈因为接触了较多的外来务工人员才会对这几个地方的有偏见和排外吧。。。不过在婚姻上，浙江人的排外，至少我接触的大部分浙江人的排外都是AOE。。。哪怕是省内不同地市的都可能会被嫌弃。。。我也很绝望啊我喜欢的小姐姐是江西的T_T
3408,train,region,0,山威是个校区啊，你为什么一定要把山威和山大割裂开来看？吉林大学那么多校区每个校区都有国家重点实验室？那我是不是可以说吉林大学某校区不如211（吉大只用来举例，没有别的意思）你这么说真的很好笑，山大校招等等很多都是一校三地共享的好吗？
7607,train,race,1,黑人那是赤道晒得吧，大热天做题谁做的下去，美国黑人，在同教育下，智商不低的，如果没歧视经济等因素影响的话，高智商里谁多不一定呢。 黄种人繁衍。。。明明jj最小啊，精液也少啊。
3718,train,race,1,我真的觉得哪怕是黑人明星，也都不好看
3002,train,gender,1,天啊年少不懂事的时候看觉得哇怎么会有书桓这么好的男人到现在才搞懂剧情的我非常恶心这种人
3134,train,gender,1,贤惠一听就是取悦男人的，同样的，夸小孩子乖一看就是取悦大人的，夸要夸到点子上，要夸人的本质，比如贤惠可以换成勤快啦。
2063,train,region,1,东北人表示在饭店叫人直接就大喊：服务员儿！都这样，民风剽悍??(??????)??
303,train,region,0,太实在了葛姐。尤其是扔到东北那句。
5299,train,race,1,不得不说在持枪和自卫上华人还是要大大的向韩国人学习的。以前看到说法是黑人暴乱那天韩国人在韩国城组织了大量持枪兵力，甚至有在楼顶埋伏的狙击手，把那天想到韩国城抢劫打砸的黑黑打得服服帖帖的，自此以后再有没有黑黑到韩国城捣乱了....
9258,train,race,0,其实可以让黑人去国足[思考]
9857,train,race,0,出国后调侃白人至上，被三k党 出国后调侃黑仌，被打砸。 出国后调侃女权，身败名裂 出国后调侃移民，她还真没崔娃那个口才。 出国后调侃红脖子，被投诉举报。[惊喜]
4559,train,gender,0,拐卖妇女儿童，绑架罪是以钱财为目的，单纯为了报复而绑架，属于非法拘禁罪
2595,train,region,0,其实我觉得口音真的反应不了什么吧……至少我是真的觉得和台湾人讲话，我的口音特别容易也有台湾腔，我也不知道为什么………
6650,train,region,1,湖北由于历史上一直都是分裂割据的兵家战场，所以养成了有奶就是娘的优良传统，武汉落后的时候天天跑出去黑武汉大县城，其实外省人觉得挺可笑的....九头鸟自己好好摆一下自己的立场
1166,train,region,1,对，大灰狼搞大灰狼，小白兔搞小白兔，貌似影响不到。但就像河南人偷井盖这种地图炮一样，可能就一两个人这么干了，凭什么要让所有河南人背上这个锅
11109,train,race,0,结合背景故事死神吸收的应该是敌人身体里的血液哦~ 堡垒和尚黑人问号……估计是改造后的身体也需要机油吧……
5497,train,region,0,我一个人 是吃夜茶在揭阳，可能比较小笼10笼左右，，川菜我也喜欢，不过要去四川吃。
10543,train,race,0,你但凡随便问个美国人（非亚裔），都会告诉你每个人都是不同的个体，每个人都有权利活自己的人生，有自己的精彩，也就中国人认为成功的定义只有一种就是读书上学好工作
11171,train,race,0,黄种人人口多啊，中国和印度就完爆好么？
3072,train,race,1,那种东西跟“人口素质排名”一样，看看就行了，当不得真，说到底其实是对中国的不了解 。 不过本国由于发展不均衡 ，许多地区还是存在着侵害妇女权益的事件。 这需要经济发展与政府的教育，任重而道远。
4715,train,region,0,辽宁和韩国人口相差1500万，居然会被称为差不多
3897,train,region,0,我记得山东比河南更狠
4230,train,race,1,"\""公开说“黑人平均智商低”也很妥当，因为研究结果就是这样的，是事实！\""这句话是什么鬼"
1609,train,race,0,瓶邪六年粉，混圈六年，坚持粉书不黑人，各有各的爱好，淡定些就好。
2863,train,region,0,额经济强如江苏还有17人没有脱贫呢，不是人人都上得起一年7万的
1206,train,gender,0,前男票说要一起去美国，然后养条金毛，本来怕狗的，唯独喜欢上了大金毛哈哈
1887,train,gender,1,呵呵，对女性的深深的恶意啊...
229,train,gender,0,233666为小仙女老司机疯狂打胎！
4559,train,region,0,四川大学、重庆大学留本地工作率完爆哈工大、吉大、大连理工。。我就是东北985的我会不知道吗
12432,train,race,0,我们村重点高中95%都是亚裔。老中老印各占一半。
1291,train,gender,1,这个女的是让我最恶心的一个
4207,train,race,1,明明是一个侵权加博眼球的话题，愣是给搞成了一个女权话题。合着国内的强奸是中国男人的错，洋大人的强奸也是中国男人的错……真是服了这帮女权主义者了
2660,train,gender,0,女娃子太狠了没打过
5632,train,region,0,刘青山（1916年―1952年2月10日），男，汉族，河北省安国市石佛南章村人，出身于贫农家庭，幼年在博野县南白沙村当长工，曾任中国共产党天津市地委书记，是中国1951年三反运动中打掉的“老虎”之一，1952年2月10日被执行枪决。有关系么？
3857,train,region,0,炸黄河的原因是什么？你来说说？日本人为什么跟疯了一样非要攻河南郑州？
2271,train,region,1,自己东北人都觉得叫东北人是地域黑 那有啥说的
12582,train,race,0,黄种人打仗行，发明，文化，还得靠印欧闪含
11469,train,race,0,印度人性欲比较强
904,train,gender,0,我跟你说我和女朋友玩游戏对面有女的，我不杀她，我女朋友杀我，懂我意思吧。
6818,train,race,1,首先评论要经过你的筛选？因为你知道会被喷。黑人什么时候要背这个锅？我只知道男同性恋感染的几率会更高。不懂不要随意回答或者误导别人。如果有证明黑人增加感染艾滋病感染率的，请用有力的证据证明。别一天瞎带节奏
2889,train,gender,1,我可没有去侮辱别人。无论男女。 女性也存在对女性的侮辱，这一点你可以去微博看看。 这依然是一个素质问题。女性也有骂人娘炮的，这跟素质关系更大。
1681,train,gender,1,我相信你肯定是个码农，不过你把女生说得太不堪入目吧，为什么打比喻不能换成男的。像那些医学生的尸体人模什么的都用男生的。
10428,train,race,0,在澳洲对亚裔的种族歧视感觉比美国要严重，之前遇到的几个事真的刷新了我的认知。在澳洲某小城市，local歧视有时候不会当你面说什么，甚至还表现的很友好，背地里小动作不要太多。心累，准备回国了。
3511,train,race,1,按这道理欧美歧视华人也是理所当然吗？
1717,train,region,1,确实当年陈冠希是受害者，这个圈子对他太不公平，对一众女主也太不公平。 不过话说回来香港娱乐圈就是这么恶心。
4549,train,gender,1,不是说女的出轨么？
6954,train,race,1,完全的扯淡！能去美国的黄种人有几个是有独立意识的，一大群羡慕美国人生活的小资产阶级甚至大资产阶级，生活上至少有一定保障的，人口也少，那像黑人传统上就是奴隶教育经济实力怎么比，
6512,train,race,1,黑人没有到世界第二还是被针对，马丁路德金也被暗杀了，黑人还是被歧视。是真没懂楼主的点
9780,train,race,0,别扯了，跟印度人长的一样，都喜欢东亚妹子
13328,train,race,0,其实杨贵妃应该找个黑人演员比较好，政治正确！
3082,train,region,1,“哟你那么苗条真不像山东人~”
2368,train,gender,1,日本女人脑子莫不是有病？当时日本女的地位那么低还有这自信为国争光啊，感觉你说的不太真实
2452,train,region,1,可惜他没有特总统的级别，主要是他真的很恶心人呐[捂脸]你黑别人夸自己也没夸自己学校学风质量多好，还不是说学校在北京，难道是自己知道可夸的只有一个地理位置？有点儿不敢相信这是一位大学老师。
9436,train,race,0,汉族本来就是混血民族，只不过都是黄种人，有蒙古血统，有满清血统，都是被少数民族征服过的证据
4918,train,gender,1,女大学生的做法不犯罪？？？呵呵呵呵
5119,train,race,1,国外不好，黑人社区的公立学校奉行快乐教育，孩子什么都不会，如果你不要求孩子的成绩，我国的教师一样可以做到快乐教育。
12709,train,race,0,法国殖民地的黑人阿拉伯人二战时参加自由法国还是挺踊跃的
362,train,gender,0,对，我就是九亿少女，林狗是是我的，大新哥也是我的
2212,train,region,0,河南人是你祖宗
4459,train,gender,1,我真的佛了，一个大男人怎么能做到这么恶心，祝他早日凉凉（真的很心疼我大哥了）
693,train,gender,1,那个说自己女朋友穿肯定不好看的男的真恶心，买不起不能努力赚钱或者直说没钱吗！
2574,train,region,1,有素质就像日本人和台湾人了？
10194,train,race,0,楼主偏激了 洋人也是迷恋黑人/棕色皮肤人的大胸大屁股，丰唇，tan/小麦色皮肤，卷发，rap，大屌 这不是什么崇洋迷外，而是人总是追求自己没有的一些东西，用某人的名言，没吃过的屎都是香的
3568,train,region,0,你的这种说法并不符合问题本意。本意是指在上海买房，而不是家乡有房。你俩把家乡的房子卖几套可以买得起现在租的房子？不贷款的情况下。
3247,train,race,1,玻璃心而已，见得多了——LGBT，动保，黑命贵，女权，vegan等等
6038,train,race,1,你有没有认真读回答，答主并未回避白人歧视我们这一问题，但你请好好将我们是怎么做的和黑人是怎么做的相比较。
8955,train,race,1,嗯，真好奇为什么一个中国人比美国黑人了解的都深，我反正看脱口秀都吐槽黑人出门去趟超市都容易被临检。更别说最近央视上各种被美国警察射杀的视频，那些人我反正作者说的这些英文是一个字都没见说过，只看见两方人马吵吵几句就各种掏枪互射了。可能是美国民众受教育不够吧
717,train,region,1,这种事情没有人会忘的。就像现在大街上已经很少看见井盖儿这东西了，然而河南人偷井盖儿还是个段子。还有，我是个河南人（冷漠脸）
7251,train,race,1,黑人本来就智商低啊，说黑人只是因为教育不够的，人类发展几千年，
2828,train,race,1,评论区统一意见是“黑人都不好看，长的好看都是混血，不是纯种黑人”
2567,train,region,0,作为四川人，我只能说你的同学素质不太高，真的。
2849,train,gender,0,以前跟男的恋爱过，没有跟女性谈过恋爱，有过暗恋的女孩子（应该？
895,train,region,1,维护权利成了打压，你这么爱台湾？？？让国际组织存在中国和台湾并列？？？
9862,train,race,0,"2013年美国选秀节目黑人女歌手一首励志歌,MV里有减肥成功，抗击癌症，等等。有哪位知道，谢谢！"
847,train,region,1,你不是失了智？ 河南人偷井盖你遇见过？
1386,train,region,1,这跟地域无关吧，核心是“本地人”而非“上海人”，换做哪里都一样，毕竟没几个骗子在家门口骗的。
7920,train,race,1,不是老铁，这里头有人说歧视黑人了吗。你连你自己人都歧视，你搁那跟我扯什么种族歧视。
4360,train,region,0,江苏人 表示特别讨厌一言不合就放堆糖的菜哈哈哈 (只关注到这个小姐姐会生气吗哈哈)
10213,train,race,0,印度人学的不错
6186,train,race,1,中国制度怎么对待女性压迫了？呵呵中国传统无非就是重男轻女，据我观察母亲更容易重男轻女，你结婚以后对你女儿好一点不就好了？五十年代教员就喊出，妇女也能顶半边天了，还搁着国情呢？我举例确实不对，因为美国黑人确实被压迫了，被奴役了，现在还是没改变
2438,train,gender,0,真真假假都是听别人说的，不是当事人都不知道这些事情。我听说的版本就跟你的不一样，但我不会去为不能够证实的事情发声。不是当事人，何必女人为难女人。
2989,train,gender,0,看了很多的回答，必须承认国内有这种现象。
4720,train,gender,1,这还不算不自爱？这还不算作践自己？都为了钱跟一个老男人上床了！在你眼里什么才叫不自爱？！
1309,train,gender,1,啊，对这个主播真的很反感，恶心至极的好吗？还是个话痨，不管男的女的，敢叫小哥哥换装备，一梭子子弹打死你
8183,train,race,1,歧视黑人的人是不是种族歧视，是，那爱因斯坦歧视中国人，是不是种族歧视，肯定也是，这有什么好洗的。爱因斯坦就是种族歧视，和歧视黑人的人在种族主义上没两样。
9828,train,race,0,是的…白种人的颧骨绝对值是比黄种人高的，他们不显颧骨是因为面部整体更立体而不是低，黄种人的问题是面部平才显得颧骨高。
9952,train,race,0,黄种人返祖战斗力乘十，进化成白人战斗力乘二十
3895,train,race,1,我作为一个中国人为什么要去同情或者理解一个靠打压其他亚裔获得自己可悲的认同感的华人？为了自己的认同感就可以随意损害别人的利益？这不符合世界主流价值观。
1440,train,region,1,我的原则很简单，别和白人 黑人 穆斯林 香港 台湾 东南亚人交往过就好。如果有过我会觉得恶心。
